ns1:natOp;Marca;Produto;ns1:uCom;Quantitade;Valor Unitario;ns1:vProd
Venda de mercadorias;;Oleo Acai;litro;3;430,47;1291,41
Venda de mercadorias;;Oleo de Castanha do Para;litro;3;151,3;453,9
Venda de mercadorias;;Manteiga de murumuru;kg;2;168,75;337,5
Venda de mercadorias;;Manteiga de cupuacu;kg;2;241,25;482,5
Venda de mercadorias;;MEL DE ABELHA SEM FERRAO 150G;UN;70;27,5;1925
Venda de mercadorias;;01 - Chocolate Nakau 54% Cacau 40g;UN;10;10,5;105
Venda de mercadorias;;02 - Chocolate Nakau 63% Cacau 40g;UN;10;10,5;105
Venda de mercadorias;;03 - Chocolate Nakau 72% Cacau 40g;UN;10;10,5;105
Venda de mercadorias;;04 - Chocolate Nakau 81% Cacau 40g;UN;10;10,5;105
Venda de mercadorias;;05 - Chocolate Nakau 63% Cacau com Cafe Apui 40g;UN;10;10,5;105
Venda de mercadorias;;06 - Chocolate Nakau 63% Cacau com Castanha da Amazonia 43g;UN;10;10,5;105
Venda de mercadorias;;07 - Chocolate Nakau 72% Cacau com Cupuacu 43g;UN;10;10,5;105
Venda de mercadorias;;24 x  125gr Castanha do Brasil Beneficiada;fd;3;303,4;910,2
Venda de mercadorias;;Guarana em po Certificado Organico - Selecionado 125g;UN;70;21;1470
Venda de mercadorias;;KIT 6 GELEIAS 40G;UN;70;65;4550
Venda de mercadorias;;MOLHO TUCUPI PRE 150;UN;70;24,9;1743
Venda de mercadorias;;Farinha Tapioca 150g;UN;5;9,07;45,35
Venda de mercadorias;;Geleia de Acai 130g;UN;3;14,28;42,84
Venda de mercadorias;;Geleia de Jambu 130g;UN;3;14,28;42,84
Venda de mercadorias;;Geleia de Pimenta 130g;UN;3;14,28;42,84
Venda de mercadorias;;Geleia de Priprioca 130g;UN;2;14,28;28,56
Venda de mercadorias;;Geleia de Tapereba 130g;UN;3;14,28;42,84
Venda de mercadorias;;Granola Tapioca 50g;UN;8;3,6;28,8
Venda de mercadorias;;Chocolate Nakau 54% Cacau 40g;UN;4;9,6;38,4
Venda de mercadorias;;Chocolate Nakau 63% Cacau com Cafe Apui 40g;UN;4;10,8;43,2
Venda de mercadorias;;Chocolate Nakau 63% Cacau com Castanha da Amazonia 43g;UN;4;10,8;43,2
Venda de mercadorias;;Chocolate Nakau 72% Cacau com Pimenta Baniwa 40g;UN;4;10,8;43,2
Venda de mercadorias;;ARGILA BRANCA DA AMAZONIA + GUARANA E ACAI  50GA;UN;4;21,59;86,36
Venda de mercadorias;;ARGILA BRANCA DA AMAZONIA + CUPUACU  50G;UN;4;21,59;86,36
Venda de mercadorias;;OLEO DE CASTANHA;UN;4;20,78;83,12
Venda de mercadorias;;OLEO  DE PRACAXI;UN;4;30,65;122,6
Venda de mercadorias;;OLEO DE PATAUA;UN;4;36,46;145,84
Venda de mercadorias;;OLEO DE COPAIBA;UN;4;27,6;110,4
Venda de mercadorias;;MEL DE ABELHA SEM FERRAO 150G;UN;4;28,78;115,12
Venda de mercadorias;;Guarana em po Certificado Organico - Selecionado 125g;UN;4;21,6;86,4
Venda de mercadorias;;Cafe Apui Organico;UN;7;12;84
Venda de mercadorias;;Geleia de Cacau com Cumaru - 130g;UN;1;14,28;14,28
Venda de mercadorias;;Granola Tapioca 50g;UN;8;3,8;30,4
Venda de mercadorias;;KIT 6 Geleias 40g;UN;3;54;162
Venda de mercadorias;;Castanha do Brasil Beneficiada 125g;fd;6;11,88;71,28
Venda de mercadorias;;Farinha Tapioca 150g;UN;4;9,07;36,28
Venda de mercadorias;;Geleia de Cacau com Cumaru - 130g;UN;2;14,28;28,56
Venda de mercadorias;;PUXURI 100GR;KG;0,1;384;38,4
Venda de mercadorias;;AMBURANA;KG;0,1;168;16,8
Venda de mercadorias;;CUMARU 100gr;UN;0,2;250;50
Venda de mercadorias;;PRIPRIOCA 200g;UN;0,2;194;38,8
Venda de mercadorias;;Geleia de Cacau com Cumaru 500g;UN;2;32,03;64,06
Venda de mercadorias;;Doce de Garfo de Cupuacu 500g;UN;2;38,44;76,88
Venda de mercadorias;;Geleia de Priprioca 500g;UN;2;38,44;76,88
