Produto;Marca;Index
Chocolate ao leite 45% - 50g - Cacau River;Cacau River;1
Chocolate ao leite 45% - 50g - Cacau River Lote 0820 Val 08/21;Cacau River;2
Chocolate Vegano 60% - 50g - Cacau River;Cacau River;3
Chocolate Vegano 60% - 50g - Cacau River Lote 0820 Val 08/21;Cacau River;4
Chocolate Vegano 71%- 50g - Cacau River;Cacau River;5
Chocolate Vegano 71%- 50g - Cacau River  Lote 0820 Val 08/21;Cacau River;6
AMENDOA CACAU FINO C ACUCAR MASCAVO - 50G - Cacau Way;Cacau Way;7
AMENDOA CACAU FINO C ACUCAR MASCAVO - 50G - Cacau Way  Val 05/07/21;Cacau Way;8
AMENDOA CACAU FINO C ACUCAR MASCAVO -120g - Cacau Way;Cacau Way;9
AMENDOA CACAU FINO C ACUCAR MASCAVO -120g - Cacau Way Val 20/08/21;Cacau Way;10
AMENDOA CACAU FINO C ACUCAR MASCAVO 50G;Cacau Way;11
Amendoa de Cacau Amazonico com Acucar mascavo - 120g - Cacauway;Cacau Way;12
Amendoa de Cacau Amazonico com Acucar mascavo - Cacauway - 50g, Cacauway;Cacau Way;13
AMENDOA DE CACAU PREMIUM C/ ACUCAR MASCAVO 120G;Cacau Way;14
Cacau in Natura 1kg;Cacau Way;15
TABLETE ARTESANAL CHOCOLATE PREMIUM AMARGO 65% 20G;Cacau Way;16
Cafe Apui Organico;Café Apuí;17
Cafe Apui Organico - 250g;Café Apuí;18
Cafe Apui Organico - 250g  Lote 0011 Val 13/08/21;Café Apuí;19
Cafe Apui Organico - 250g  Lote 0012 Val 19/10/21;Café Apuí;20
CERVEJA MARATINGA FRUIT BEER 500ML;Coopercuc;21
CERVEJA UMBU BELGIAN PALE ALE 500ML;Coopercuc;22
COMPOTA ORGANICA DE UMBU 630G;Coopercuc;23
COMPOTA ORGANICA DE UMBU 630G  Lote 130202 Val 17/09/21;Coopercuc;24
DOCE DE UMBU E GOIABA 230G;Coopercuc;25
Doce de Umbu Organico;Coopercuc;26
Doce em corte de Umbu Organico;Coopercuc;27
Doce em massa de Umbu;Coopercuc;28
Doce em massa de Umbu com Goiaba;Coopercuc;29
Doce Organico de Umbu cremoso;Coopercuc;30
FLOCAO MILHO PURO MILHO NAO TRANSGENICO;Coopercuc;31
Geleia de Maracuja da Caatinga;Coopercuc;32
GELEIA DE UMBU ORGANICO 240G;Coopercuc;33
Kit Doces Caatinga Organico;Coopercuc;34
Kit Doces Frutas do Brasil;Coopercuc;35
MINI KIT FRUTAS DA CAATINGA ORG. 146G;Coopercuc;36
Nego Bom de Umbu em cubos;Coopercuc;37
UMBU BOM ORGANICO 100G;Coopercuc;38
UMBU BOM ORGANICO 100G Lote: 132402 Val 13/08/21;Coopercuc;39
Guarana em po Organico -  125g - DAmazonia Origens;Damazonia Origens;40
Guarana Organico em Capsulas vegetais;Damazonia Origens;41
Guarana Organico em Capsulas vegetais - D amazonia Origens;Damazonia Origens;42
Guarana Organico em Capsulas vegetais - Damazonia Origens;Damazonia Origens;43
Colar Ponteia;DaTribu;44
Colar Ponteia Cor:Amarelo Claro;DaTribu;45
Colar Ponteia Cor:Amarelo Escuro;DaTribu;46
Colar Ponteia Cor:Azul;DaTribu;47
Colar Ponteia Cor:Azul Claro;DaTribu;48
Colar Ponteia Cor:Colorido;DaTribu;49
Colar Ponteia Cor:Marfim;DaTribu;50
Colar Ponteia Cor:Roxo;DaTribu;51
Colar Ponteia Cor:Verde;DaTribu;52
Colar Ponteia Cor:Vinho;DaTribu;53
Pulseira Ponteia;DaTribu;54
Pulseira Ponteia - cores variadas cores variadas;DaTribu;55
Pulseira Ponteia Cor:Amarelo;DaTribu;56
Pulseira Ponteia Cor:Azul Claro;DaTribu;57
Pulseira Ponteia Cor:Azul Escuro;DaTribu;58
Pulseira Ponteia Cor:Bege;DaTribu;59
Pulseira Ponteia Cor:Laranja;DaTribu;60
Pulseira Ponteia Cor:Ocre;DaTribu;61
Pulseira Ponteia Cor:Preto;DaTribu;62
Pulseira Ponteia Cor:Roxo;DaTribu;63
Pulseira Ponteia Cor:Verde Claro;DaTribu;64
Pulseira Ponteia Cor:Verde Escuro;DaTribu;65
Pulseira Ponteia Cor:Vermelho;DaTribu;66
Pulseira Ponteia Cor:Vinho;DaTribu;67
Pulseira Ubuntu Cor:Jatoba;DaTribu;68
Pulseira Ubuntu Cor:Preta;DaTribu;69
Pulseira Ubuntu Cor:Preto;DaTribu;70
PULSEIRAS DE ACAI;DaTribu;71
CHOCOLATE AO LEITE DE BUFALA - 47% CACAU - De Mendes;De Mendes;72
CHOCOLATE AO LEITE DE BUFALA - 47% CACAU - De Mendes Lote:316 Val 23/01/21;De Mendes;73
CHOCOLATE AO LEITE DE BUFALA - 47% CACAU - De Mendes Lote:323 Val 27/01/21;De Mendes;74
CHOCOLATE AO LEITE DE BUFALA - 47% CACAU - De Mendes Lote:325 Val 28/01/21;De Mendes;75
CHOCOLATE AO LEITE DE BUFALA - 47% CACAU - De Mendes Lote:341 Val 14/02/21;De Mendes;76
CHOCOLATE AO LEITE DE BUFALA - 47% CACAU - De Mendes Lote:345 Val 04/03/21;De Mendes;77
CHOCOLATE AO LEITE DE BUFALA - 47% CACAU - De Mendes Lote:354 Val 11/03/21;De Mendes;78
CHOCOLATE AO LEITE DE BUFALA - 47% CACAU - De Mendes Lote:372 Val 05/03/21;De Mendes;79
CHOCOLATE BOM JARDIM - 63% CACAU - De Mendes;De Mendes;80
CHOCOLATE BOM JARDIM - 63% CACAU - De Mendes Lote:135 Val 09/03/21;De Mendes;81
CHOCOLATE BOM JARDIM - 63% CACAU - De Mendes Lote:163 Val 05/09/21;De Mendes;82
CHOCOLATE BOM JARDIM - 63% CACAU - De Mendes Lote:188 Val 17/02/21;De Mendes;83
CHOCOLATE BOM JARDIM - 63% CACAU - De Mendes Lote:198 Val 20/02/21;De Mendes;84
CHOCOLATE BOM JARDIM - 63% CACAU - De Mendes Lote:318 Val 24/01/21;De Mendes;85
CHOCOLATE BOM JARDIM - 63% CACAU - De Mendes Lote:322 Val 27/01/21;De Mendes;86
CHOCOLATE BOM JARDIM - 63% CACAU - De Mendes Lote:337 Val 13/02/21;De Mendes;87
CHOCOLATE BOM JARDIM - 63% CACAU - De Mendes Lote:343 Val 18/02/21;De Mendes;88
CHOCOLATE JARI - 65% CACAU - De Mendes;De Mendes;89
CHOCOLATE JARI - 65% CACAU - De Mendes Lote:140;De Mendes;90
CHOCOLATE JARI - 65% CACAU - De Mendes Lote:169;De Mendes;91
CHOCOLATE JARI - 65% CACAU - De Mendes Lote:183;De Mendes;92
CHOCOLATE JARI - 65% CACAU - De Mendes Lote:184;De Mendes;93
CHOCOLATE JARI - 65% CACAU - De Mendes Lote:304;De Mendes;94
CHOCOLATE JARI - 65% CACAU - De Mendes Lote:336;De Mendes;95
CHOCOLATE JARI - 65% CACAU - De Mendes Lote:338;De Mendes;96
CHOCOLATE JARI - 65% CACAU - De Mendes Lote:346;De Mendes;97
CHOCOLATE JARI - 65% CACAU - De Mendes Lote:366;De Mendes;98
CHOCOLATE MOCAJUBA - 74% CACAU - De Mendes;De Mendes;99
CHOCOLATE MOCAJUBA - 74% CACAU - De Mendes Lote:296 Val 06/03/21;De Mendes;100
CHOCOLATE MOCAJUBA - 74% CACAU - De Mendes Lote:302 Val 06/03/21;De Mendes;101
CHOCOLATE MOCAJUBA - 74% CACAU - De Mendes Lote:329 Val 06/03/21;De Mendes;102
CHOCOLATE MOCAJUBA - 74% CACAU - De Mendes Lote:331 Val 13/02/21;De Mendes;103
CHOCOLATE MOCAJUBA - 74% CACAU - De Mendes Lote:350 Val 05/03/21;De Mendes;104
CHOCOLATE MULHERES DA FLORESTA - 72 CACAU - De Mendes;De Mendes;105
CHOCOLATE MULHERES DA FLORESTA - 72% CACAU - De Mendes;De Mendes;106
CHOCOLATE MULHERES DA FLORESTA - 72% CACAU - De Mendes Lote:138 Val 09/02/21;De Mendes;107
CHOCOLATE MULHERES DA FLORESTA - 72% CACAU - De Mendes Lote:180 17/03/21;De Mendes;108
CHOCOLATE MULHERES DA FLORESTA - 72% CACAU - De Mendes Lote:181 17/03/21;De Mendes;109
CHOCOLATE MULHERES DA FLORESTA - 72% CACAU - De Mendes Lote:182 17/03/21;De Mendes;110
