,ns1:natOp,Marca_x,Produto,ns1:uCom,Quantitade,Valor Unitario,ns1:vProd,Marca_y,Index
0,Venda de mercadorias,,Oleo Acai,litro,3,"430,47","1291,41",Oleicos,331.0
1,Venda de mercadorias,,Oleo de Castanha do Para,litro,3,"151,3","453,9",Oleicos,349.0
2,Venda de mercadorias,,Manteiga de murumuru,kg,2,"168,75","337,5",Inatú,187.0
3,Venda de mercadorias,,Manteiga de cupuacu,kg,2,"241,25","482,5",Inatú,184.0
4,Venda de mercadorias,,MEL DE ABELHA SEM FERRAO 150G,UN,70,"27,5",1925,Peabiru,363.0
5,Venda de mercadorias,,01 - Chocolate Nakau 54% Cacau 40g,UN,10,"10,5",105,Nakau,277.0
6,Venda de mercadorias,,02 - Chocolate Nakau 63% Cacau 40g,UN,10,"10,5",105,Nakau,278.0
7,Venda de mercadorias,,03 - Chocolate Nakau 72% Cacau 40g,UN,10,"10,5",105,Nakau,279.0
8,Venda de mercadorias,,04 - Chocolate Nakau 81% Cacau 40g,UN,10,"10,5",105,Nakau,280.0
9,Venda de mercadorias,,05 - Chocolate Nakau 63% Cacau com Cafe Apui 40g,UN,10,"10,5",105,Nakau,281.0
10,Venda de mercadorias,,06 - Chocolate Nakau 63% Cacau com Castanha da Amazonia 43g,UN,10,"10,5",105,Nakau,282.0
11,Venda de mercadorias,,07 - Chocolate Nakau 72% Cacau com Cupuacu 43g,UN,10,"10,5",105,Nakau,283.0
12,Venda de mercadorias,,24 x  125gr Castanha do Brasil Beneficiada,fd,3,"303,4","910,2",Floresta em Pé,173.0
13,Venda de mercadorias,,Guarana em po Certificado Organico - Selecionado 125g,UN,70,21,1470,Terramazonia,521.0
14,Venda de mercadorias,,KIT 6 GELEIAS 40G,UN,70,65,4550,Manioca,252.0
15,Venda de mercadorias,,MOLHO TUCUPI PRE 150,UN,70,"24,9",1743,Manioca,262.0
16,Venda de mercadorias,,Farinha Tapioca 150g,UN,5,"9,07","45,35",Manioca,216.0
17,Venda de mercadorias,,Geleia de Acai 130g,UN,3,"14,28","42,84",Manioca,223.0
18,Venda de mercadorias,,Geleia de Jambu 130g,UN,3,"14,28","42,84",Manioca,229.0
19,Venda de mercadorias,,Geleia de Pimenta 130g,UN,3,"14,28","42,84",Manioca,239.0
20,Venda de mercadorias,,Geleia de Priprioca 130g,UN,2,"14,28","28,56",Manioca,240.0
21,Venda de mercadorias,,Geleia de Tapereba 130g,UN,3,"14,28","42,84",Manioca,243.0
22,Venda de mercadorias,,Granola Tapioca 50g,UN,8,"3,6","28,8",Manioca,250.0
23,Venda de mercadorias,,Chocolate Nakau 54% Cacau 40g,UN,4,"9,6","38,4",Nakau,296.0
24,Venda de mercadorias,,Chocolate Nakau 63% Cacau com Cafe Apui 40g,UN,4,"10,8","43,2",Nakau,304.0
25,Venda de mercadorias,,Chocolate Nakau 63% Cacau com Castanha da Amazonia 43g,UN,4,"10,8","43,2",Nakau,306.0
26,Venda de mercadorias,,Chocolate Nakau 72% Cacau com Pimenta Baniwa 40g,UN,4,"10,8","43,2",Nakau,315.0
27,Venda de mercadorias,,ARGILA BRANCA DA AMAZONIA + GUARANA E ACAI  50GA,UN,4,"21,59","86,36",Simbioze Amazonica,426.0
28,Venda de mercadorias,,ARGILA BRANCA DA AMAZONIA + CUPUACU  50G,UN,4,"21,59","86,36",Simbioze Amazonica,422.0
29,Venda de mercadorias,,OLEO DE CASTANHA,UN,4,"20,78","83,12",Oleicos,348.0
30,Venda de mercadorias,,OLEO  DE PRACAXI,UN,4,"30,65","122,6",Inatú,189.0
31,Venda de mercadorias,,OLEO DE PATAUA,UN,4,"36,46","145,84",Oleicos,354.0
32,Venda de mercadorias,,OLEO DE COPAIBA,UN,4,"27,6","110,4",Oleicos,350.0
33,Venda de mercadorias,,MEL DE ABELHA SEM FERRAO 150G,UN,4,"28,78","115,12",Peabiru,363.0
34,Venda de mercadorias,,Guarana em po Certificado Organico - Selecionado 125g,UN,4,"21,6","86,4",Terramazonia,521.0
